Symbol,Close,EMA10,EMA30,EMA40,MaxDeviationPct,AvgWeeklyVolume
SAMMAANCAP,157.9,157.66,157.03,155.48,1.56,70611227
PNGJL,609.8,607.84,599.86,599.47,1.72,2480675
BLACKBUCK,585.0,578.26,573.82,570.7,2.5,2969408
INDHOTEL,720.0,717.49,699.63,698.8,3.03,11155856
GAIL,173.4,172.02,168.16,167.77,3.36,46914974
BANKINDIA,145.0,143.47,142.02,140.24,3.39,45420539
PETRONET,288.1,283.83,278.92,278.56,3.43,12493295
BAJAJFINSV,1970.0,1950.33,1899.42,1898.99,3.74,5469078
LGEINDIA,1640.0,1613.75,1576.98,1576.39,4.04,3429232
GESHIP,1366.0,1359.03,1343.4,1312.4,4.08,5716890
SENCO,358.75,357.01,345.18,344.32,4.19,7618093
PRESTIGE,1587.0,1585.39,1527.29,1519.8,4.42,3463272
ZFCVINDIA,2550.1,2534.35,2461.64,2435.39,4.71,726116
ASHOKLEY,169.0,167.64,163.84,161.33,4.75,108893740
JINDALSTEL,1165.0,1123.81,1121.53,1111.81,4.78,5698871
TVSSCS,130.6,129.7,125.14,124.6,4.81,5483975
IIFLCAPS,340.9,336.62,329.09,325.11,4.86,2729472
ICICIBANK,1423.2,1404.16,1363.14,1355.98,4.96,68924993
HOMEFIRST,1210.0,1187.46,1153.84,1148.7,5.34,982720
INDIANB,879.7,866.65,846.52,831.24,5.83,13331319
PNB,117.0,113.27,110.86,110.41,5.96,92003558
UNITDSPR,1471.7,1467.04,1396.82,1386.04,6.18,4449379
RELIGARE,256.8,244.47,241.49,241.03,6.54,6275395
STAR,1060.0,1030.43,1009.46,991.86,6.87,1590196
